title,content,options,correct_answer,explanation,subject,board,difficulty,grade,topic_tags,question_type,marks,time_limit
Newton's Second Law,What is the acceleration of a 5 kg object when a force of 10 N is applied to it?,"2 m/s², 5 m/s², 10 m/s², 50 m/s²",0,"Using Newton's Second Law: a = F/m = 10/5 = 2 m/s²",physics,general,easy,Class 11,"mechanics, forces, newton's laws",mcq,1,1
Quadratic Equation,Solve the quadratic equation: x² - 5x + 6 = 0,"x = 2 and x = 3, x = -2 and x = -3, x = 2 and x = -3, x = -2 and x = 3",0,"Using the quadratic formula or factoring: x² - 5x + 6 = 0 => (x - 2)(x - 3) = 0 => x = 2 or x = 3",math,general,medium,Class 10,"algebra, quadratic equations",mcq,2,2
Periodic Table,Which element has the highest electronegativity in the periodic table?,"Oxygen, Fluorine, Chlorine, Nitrogen",1,"Fluorine has the highest electronegativity value (3.98 on the Pauling scale) of all elements in the periodic table.",chemistry,general,medium,Class 11,"periodic table, chemical properties",mcq,1,1
Projectile Motion,A ball is thrown horizontally from a height of 20m with an initial velocity of 15 m/s. How far from the base of the building will the ball hit the ground? (g = 10 m/s²),"15 m, 30 m, 45 m, 60 m",1,"Time to hit ground: t = √(2h/g) = √(2×20/10) = 2s. Horizontal distance = initial velocity × time = 15 × 2 = 30m",physics,jee,medium,Class 11,"mechanics, projectile motion",mcq,3,3
Cell Division,Which of the following is NOT a phase of mitosis?,"Prophase, Metaphase, Interphase, Telophase",2,"Interphase is not a phase of mitosis. It's the period between cell divisions when the cell is preparing for division.",biology,neet,easy,Class 11,"cell biology, cell division",mcq,1,1
Organic Chemistry,What is the IUPAC name of CH₃-CH₂-CHO?,"Propanol, Propanal, Propanone, Propanoic acid",1,"The compound CH₃-CH₂-CHO has an aldehyde group (-CHO) at the end of a three-carbon chain, making it propanal.",chemistry,general,medium,Class 12,"organic chemistry, nomenclature",mcq,2,2
Calculus Integration,Evaluate the integral: ∫(2x + 3) dx,"x² + 3x + C, 2x² + 3x + C, x² + 3x, 2x² + 3",0,"∫(2x + 3) dx = 2∫x dx + 3∫dx = 2(x²/2) + 3x + C = x² + 3x + C",math,jee,medium,Class 12,"calculus, integration",mcq,2,2
Electromagnetic Induction,According to Faraday's law of electromagnetic induction, the induced EMF is proportional to:,"Rate of change of current, Rate of change of magnetic flux, Rate of change of electric field, Rate of change of resistance",1,"Faraday's law states that the induced EMF is proportional to the rate of change of magnetic flux through the circuit.",physics,general,medium,Class 12,"electromagnetism, induction",mcq,2,2
Chemical Bonding,Which type of bond is formed between two non-metal atoms with similar electronegativity values?,"Ionic bond, Covalent bond, Metallic bond, Hydrogen bond",1,"When two non-metals with similar electronegativity share electrons, they form a covalent bond.",chemistry,general,easy,Class 10,"chemical bonding, molecular structure",mcq,1,1
Quantum Mechanics,What is the de Broglie wavelength of an electron (mass = 9.1 × 10⁻³¹ kg) moving at 10% of the speed of light? (h = 6.63 × 10⁻³⁴ J·s, c = 3 × 10⁸ m/s),"2.43 × 10⁻¹¹ m, 2.43 × 10⁻¹² m, 7.27 × 10⁻¹¹ m, 7.27 × 10⁻¹² m",0,"Using λ = h/mv where v = 0.1c: λ = (6.63 × 10⁻³⁴)/(9.1 × 10⁻³¹ × 0.1 × 3 × 10⁸) = 2.43 × 10⁻¹¹ m",physics,jee,hard,Class 12,"quantum mechanics, wave-particle duality",mcq,4,4