id	title	content	questionType	difficulty	subject	board	grade	topicTags	marks	timeLimit	isPublished	createdAt	updatedAt	analytics
1	Newton's First Law	What does Newton's First Law state?	mcq	easy	physics	cbse	Class 9	motion;laws of motion	2	2	true	2025-07-18T10:00:00Z	2025-07-18T10:00:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":1}
2	Acceleration Formula	What is the formula for acceleration?	mcq	easy	physics	cbse	Class 9	motion;acceleration	2	2	true	2025-07-18T10:01:00Z	2025-07-18T10:01:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":1}
3	Gravitational Force	Who discovered the law of universal gravitation?	mcq	easy	physics	cbse	Class 9	gravity;forces	2	2	true	2025-07-18T10:02:00Z	2025-07-18T10:02:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":1}
4	Work Done	What is the SI unit of work?	mcq	easy	physics	cbse	Class 10	work;energy	2	2	true	2025-07-18T10:03:00Z	2025-07-18T10:03:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":1}
5	Power Definition	Define power in physics.	mcq	medium	physics	cbse	Class 10	work;power	2	2	true	2025-07-18T10:04:00Z	2025-07-18T10:04:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":2}
6	Ohm's Law	What is Ohm's Law?	mcq	medium	physics	cbse	Class 10	electricity;ohm's law	2	2	true	2025-07-18T10:05:00Z	2025-07-18T10:05:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":2}
7	Reflection Law	State the law of reflection.	mcq	medium	physics	cbse	Class 10	light;reflection	2	2	true	2025-07-18T10:06:00Z	2025-07-18T10:06:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":2}
8	Speed of Light	What is the speed of light in vacuum?	mcq	medium	physics	cbse	Class 10	light;speed	2	2	true	2025-07-18T10:07:00Z	2025-07-18T10:07:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":2}
9	Archimedes Principle	Explain Archimedes' Principle.	mcq	hard	physics	cbse	Class 11	fluids;archimedes	3	3	true	2025-07-18T10:08:00Z	2025-07-18T10:08:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":3}
10	Wave Equation	Write the wave equation for a string.	mcq	hard	physics	cbse	Class 11	waves;equations	3	3	true	2025-07-18T10:09:00Z	2025-07-18T10:09:00Z	{"totalAttempts":0,"correctAttempts":0,"averageTime":0,"difficultyRating":3}